-8.06 1.06 4.81 -1.85 ,-6.95 ,49,65,13,98,66
-4.27 5.82 3.09 4.66 -2.48 ,-6.39 0.78 ,114,9,94,128,62
5.70 1.39 -4.41 -4.57 -2.65 ,1.14 ,125,143,107,146,46
-0.19 -1.18 4.68 0.35 -2.14 -0.09 ,0.95 ,89,125,42,134,32
-4.22 -0.71 4.72 4.82 -3.54 ,-6.90 -1.01 ,31,5,87,65,51
-0.02 -7.67 -2.30 -0.31 4.99 2.19 0.88 -2.81 0.26 ,-2.02 -4.68 -1.02 1.34 ,94,14,52,151,29
1.92 -1.93 -0.72 1.68 0.56 -1.12 2.41 3.63 -0.67 ,4.70 ,79,156,52,93,26
0.32 -1.34 -3.95 -2.84 0.13 -2.19 2.05 3.31 -2.17 2.69 -0.39 -0.30 ,1.99 ,108,61,188,28,15
-3.72 -4.03 3.73 0.23 ,-2.91 -3.27 ,38,5,146,159,83
7.43 -1.49 -1.91 ,,152,87,181,63,71
-4.56 -4.55 -4.11 -4.88 1.48 ,5.63 0.68 ,76,75,186,158,59
-6.91 2.32 -0.09 -0.38 ,2.25 ,142,119,175,92,70
-1.54 -0.67 0.24 -0.09 0.06 3.08 -0.13 -0.07 -0.28 -2.02 0.46 ,,80,152,41,167,9
1.84 2.52 -2.40 0.47 -0.48 2.94 0.00 -2.89 2.38 -0.53 ,1.99 3.03 -0.10 -1.58 ,27,162,153,133,27
8.56 4.94 -2.83 ,-6.09 ,50,79,73,88,95
-4.11 -6.50 3.92 -5.29 2.03 ,5.86 -1.15 ,93,190,126,131,59
-0.42 -5.11 2.05 0.04 ,1.81 3.31 ,70,173,191,168,82
-7.58 -3.03 -1.67 0.09 ,-2.93 -2.57 ,126,91,11,20,76
-0.15 7.81 -0.08 5.25 -4.60 2.18 ,-6.64 0.61 ,120,118,173,161,56
-1.79 -0.11 -0.70 -1.26 -0.72 0.27 -2.81 ,4.20 -1.89 -0.31 ,131,6,58,19,18
-3.83 ,-6.90 ,19,90,2,191,92
-3.26 1.06 1.05 -5.30 0.08 4.48 2.88 0.23 ,-4.88 -0.06 ,30,88,57,148,27
0.71 5.16 1.73 -0.54 -0.22 -4.22 -0.48 -1.87 -2.55 3.12 -0.68 ,2.07 2.77 0.54 -1.81 ,39,145,100,41,26
3.38 -5.68 -4.27 ,,189,70,175,82,94
4.73 -4.32 3.12 -6.82 2.05 ,6.34 -0.88 ,88,165,145,68,58
8.47 4.90 -2.10 ,4.80 ,141,87,158,6,89
-0.62 6.24 0.48 -5.74 1.23 4.33 -3.55 0.36 ,-7.27 -0.01 1.17 ,187,158,95,139,33
6.27 1.96 3.55 -5.07 ,5.08 ,171,144,153,2,63
4.03 -1.78 -0.22 -0.40 3.99 -0.48 -1.13 -1.64 ,1.94 4.41 ,80,17,145,55,24
2.87 5.34 -0.39 -5.14 3.90 -3.17 ,-6.80 ,186,117,77,31,49
-2.14 -2.42 -0.51 -3.18 0.47 -0.47 -1.04 1.03 4.09 0.29 0.72 1.34 2.59 -0.48 -0.46 ,1.08 -3.08 0.05 ,123,57,191,152,16
-1.52 -2.74 -4.25 -1.94 1.61 2.24 4.52 -0.49 -1.72 ,-4.68 -1.02 1.34 ,89,46,7,96,29
-6.57 3.35 4.79 -2.10 ,-5.92 0.67 ,134,43,76,172,69
8.36 -5.22 2.35 ,-5.71 ,35,47,63,162,96
-7.12 0.22 4.99 -3.84 3.00 ,6.05 -2.57 ,22,3,143,33,49
-6.66 -1.91 -5.22 3.43 ,6.27 -1.69 ,77,190,79,33,65
-1.22 -3.98 -2.33 0.18 1.29 1.21 -0.49 5.43 -2.93 0.45 ,-7.89 -4.55 -1.02 1.34 ,21,22,11,118,29
3.89 3.96 -5.88 1.53 ,6.34 -0.82 ,186,158,95,2,57
8.27 2.49 -4.38 ,6.18 ,64,18,190,3,68
-0.38 -1.18 -2.42 ,6.34 ,82,16,115,41,42
-5.09 2.12 -4.32 -0.21 ,,32,148,52,144,38
-5.65 1.33 2.80 1.57 -2.72 ,-6.57 0.02 ,20,45,20,119,42
-0.62 6.06 -1.66 -2.05 4.55 -3.50 ,-6.64 -1.02 ,141,89,159,184,46
0.86 -3.90 4.20 0.20 1.85 -0.59 1.71 0.42 3.87 1.66 0.89 ,0.47 -1.38 ,133,190,82,140,22
3.02 4.97 -4.22 2.23 -5.82 2.15 ,6.05 -2.57 ,18,150,102,18,49
-7.58 2.53 -1.43 0.44 ,-3.41 -2.51 ,152,30,15,31,77
-0.15 0.82 -0.05 1.21 -1.10 -0.64 -0.96 1.72 1.20 0.47 -1.05 0.25 0.44 0.23 0.60 1.41 -0.34 -0.38 -0.65 -0.21 -0.08 0.12 -0.24 0.23 -1.29 0.39 0.66 1.47 1.94 -0.43 -0.50 -0.24 -0.27 -0.83 -0.61 -0.61 0.15 0.27 0.45 -1.69 1.01 -0.11 -0.25 1.47 -0.68 -1.24 -0.51 -1.39 -1.66 -0.69 0.35 -0.18 -0.33 0.30 -0.26 0.11 -0.45 -0.17 0.11 ,1.12 2.56 -5.93 0.70 -0.02 0.33 1.03 -0.85 -0.70 0.34 0.54 -0.62 -0.78 0.74 0.19 -0.29 -0.33 -0.81 -0.25 0.31 -0.36 -0.19 -0.12 ,76,153,36,28,3
-1.52 -3.49 1.09 0.07 4.53 -1.36 2.22 3.33 0.67 ,4.70 0.06 0.01 ,31,13,82,74,31
7.24 -1.16 -5.09 1.80 ,5.62 -0.97 ,87,134,83,18,69
-0.33 -2.70 -1.55 -0.27 -0.16 -0.40 0.35 0.73 2.19 0.90 1.11 0.42 1.96 -1.32 -3.63 -0.42 -0.26 ,4.58 -4.21 4.89 -1.73 -0.40 ,101,126,22,89,12
4.10 0.34 -1.89 -2.82 -1.97 -0.66 ,,39,137,88,189,32
-4.27 -4.35 4.58 3.93 -1.78 ,5.86 0.85 ,67,3,76,70,59
7.54 -5.34 -1.22 ,,156,82,159,25,71
0.85 0.22 -0.70 -0.41 -0.02 3.94 -1.19 -0.78 -0.31 0.05 2.39 0.30 -1.28 -3.54 -0.76 -0.47 ,-2.56 -5.66 -1.30 2.70 -0.60 2.18 0.22 0.44 0.01 ,5,37,16,30,9
-3.30 5.67 -0.62 -3.45 2.87 -2.45 ,-6.35 2.27 ,185,66,91,102,49
3.10 3.99 -0.02 0.84 -1.51 0.15 -6.31 2.84 -0.54 ,-2.41 -0.05 -1.31 ,9,72,121,134,29
8.07 2.73 -0.38 ,2.07 2.28 ,68,124,184,8,80
-0.62 -3.61 -3.97 1.43 -1.10 -0.12 -0.81 5.31 0.75 -3.40 -0.38 ,-1.19 -2.44 2.19 0.20 ,81,49,82,160,23
-0.15 -3.54 -3.75 -0.72 -1.43 -3.11 -2.36 1.02 1.97 -3.18 0.23 ,-7.89 -4.58 -0.23 1.28 ,176,46,34,46,27
-3.68 4.52 -2.90 -2.42 5.16 -3.32 ,-6.71 0.84 ,137,1,92,177,50
3.92 -3.21 2.41 0.19 ,2.38 ,44,161,118,138,77
-3.28 4.58 -0.11 -5.60 2.01 1.48 -1.43 ,-7.59 -0.73 1.44 ,166,132,105,167,43
-1.06 2.09 -1.70 -0.78 0.35 -1.38 -0.45 2.11 -0.80 -0.22 -0.36 -2.79 2.70 0.11 1.00 -3.18 -0.52 -0.22 ,4.34 -2.10 -3.57 -0.32 -0.47 -0.94 -0.05 ,37,50,47,61,13
0.53 6.83 -1.08 -2.11 1.07 -2.22 1.12 -0.49 ,1.56 1.79 0.31 ,108,106,113,70,37
-4.22 3.93 2.64 2.01 4.38 2.95 ,-5.37 2.32 ,97,72,116,124,46
1.22 7.94 3.27 -1.44 ,4.58 -1.78 ,7,61,42,40,91
-5.03 3.75 -1.63 ,3.27 ,57,153,14,31,79
-0.62 6.25 1.72 -2.37 0.03 4.47 -3.14 ,-2.56 -1.63 1.91 ,112,116,85,153,45
2.40 -5.71 3.37 4.58 1.21 ,6.97 -1.15 ,31,44,174,90,59
-8.06 3.89 -4.72 2.01 ,3.11 2.29 ,83,180,183,168,70
-2.75 5.21 -5.26 5.35 -4.10 ,-6.90 0.88 ,178,68,81,141,64
-4.27 4.65 -4.98 -2.32 ,-6.96 ,122,159,53,146,77
2.87 4.83 -0.81 -5.77 -1.85 3.56 ,0.43 -1.74 ,12,138,157,173,43
2.87 4.42 2.05 0.04 ,1.94 3.13 ,104,186,147,17,82
-0.19 0.27 -0.44 0.47 -1.48 -1.53 0.26 -0.70 -0.18 -2.25 -0.37 -0.45 0.01 -0.25 1.09 -0.64 -2.00 -1.39 0.24 1.52 -0.86 -0.25 3.22 -0.30 -1.02 -0.28 -0.32 -0.56 -2.36 -0.67 -0.43 -0.21 -0.37 -0.20 -0.09 -0.01 -0.24 ,-1.42 -5.18 5.45 -0.17 -0.06 2.44 -0.59 -0.59 -0.21 0.94 -0.20 -0.49 -0.01 0.01 ,149,80,14,56,5
7.78 -0.10 4.51 -4.11 -1.42 ,6.28 -0.98 ,33,24,124,40,55
0.71 -0.20 -1.14 2.24 -0.58 -1.89 2.51 -0.56 ,1.72 4.38 0.72 -1.64 ,117,175,144,50,29
-3.81 5.44 4.47 -3.10 ,-3.54 1.06 ,88,15,104,147,66
0.32 6.09 3.26 -5.13 3.10 ,6.50 -3.26 ,5,70,151,88,47
-5.64 2.22 -1.99 5.52 -2.45 ,-2.08 -4.46 ,121,21,55,27,49
4.26 3.63 -3.11 -1.27 -4.95 2.84 ,7.48 -2.59 ,9,60,77,13,48
0.93 5.79 2.71 -3.13 -4.00 2.22 ,6.05 -2.57 ,12,100,86,62,49
-7.89 3.71 1.94 ,3.75 ,28,9,121,52,89
-4.22 3.66 5.93 -0.33 ,4.58 1.55 ,94,176,76,113,74
-4.36 1.69 1.20 6.02 2.26 ,-5.33 ,148,60,167,110,39
1.49 -4.73 -3.40 0.37 0.14 1.23 -1.19 -0.91 -3.45 0.60 0.09 3.05 -0.81 3.61 -1.23 0.26 ,-1.42 -1.63 -0.54 1.27 -1.35 -0.44 ,118,84,63,30,15
8.68 -4.60 2.10 ,-6.58 ,8,59,56,179,84
-0.78 -2.56 -1.91 -2.77 -0.29 -1.89 2.91 -2.87 0.47 ,-2.56 1.87 0.42 0.81 ,66,2,155,179,28
-1.01 -7.30 4.87 5.65 -3.10 ,-6.58 1.06 ,127,40,33,131,66
-7.73 -3.55 1.60 ,-2.56 -0.87 ,187,29,81,152,93
0.25 -2.41 -1.34 -1.31 -1.39 -1.13 -0.89 -0.87 0.40 -0.56 2.51 3.18 -0.68 -0.88 1.22 1.93 0.67 1.24 -2.80 -0.73 0.06 0.04 ,-6.99 4.51 -3.73 0.11 -0.77 0.72 0.82 0.82 -0.04 ,106,49,10,99,11
0.13 4.95 4.14 2.48 ,1.75 ,120,66,179,40,72
-0.42 3.34 0.21 -0.35 3.50 -1.06 -0.18 -1.48 2.84 -0.49 ,3.22 ,5,121,68,94,24
2.45 -5.79 4.76 -5.71 2.46 ,6.09 -1.14 ,97,101,148,68,63
5.98 1.78 -0.17 -5.37 -3.51 ,,170,89,146,7,37
1.84 3.25 -2.70 0.64 4.88 -0.98 -3.98 -2.31 -0.60 ,5.88 -0.84 -1.22 ,66,157,120,81,34
