0.51 -0.56 -0.35 -1.19 ,-1.21 -1.33 ,73,3,66,47,70
-2.20 -4.34 -2.33 -0.23 -0.28 0.56 0.26 ,4.73 1.08 ,99,132,159,5,41
-0.29 2.66 -2.37 0.52 1.11 0.88 ,-3.69 -1.52 ,141,67,126,107,45
-2.03 -1.31 0.90 -0.74 ,-1.63 -1.23 ,63,71,52,81,72
-0.09 -0.50 2.34 -0.79 -0.52 0.17 1.30 -1.36 -0.29 ,-1.96 2.68 -3.15 ,136,4,67,96,31
-0.95 -0.51 -0.50 0.41 -1.67 -0.24 1.45 -0.52 -0.37 0.14 -0.37 -1.25 -0.81 -0.66 -0.48 0.03 -0.37 -0.10 -0.01 -0.54 0.02 -0.57 -0.13 0.77 -0.64 0.17 0.30 -0.18 -0.20 0.19 -0.36 -0.14 -0.27 -0.33 -0.11 -0.08 -0.09 0.06 -0.77 -0.10 -0.33 0.06 0.04 -0.48 -0.17 0.07 -0.15 -0.02 0.36 0.29 0.44 -0.46 -0.20 0.43 0.13 0.16 -0.03 -0.66 -0.66 ,-0.99 -0.22 -0.12 -0.48 0.09 0.36 0.04 -0.33 0.01 -0.19 0.03 -1.28 -0.90 0.32 0.55 -0.05 0.12 -0.52 -0.07 -0.44 ,27,58,169,166,3
-1.32 -0.19 -2.32 1.01 0.29 -0.22 -1.61 0.92 0.06 ,1.38 -3.68 2.98 ,70,152,122,60,33
1.48 -2.23 0.94 ,-3.69 ,46,130,40,130,59
0.45 1.94 -0.18 -0.89 ,1.33 -1.43 ,106,157,186,182,77
0.13 -1.43 0.70 1.39 0.55 1.34 0.00 1.25 -0.94 -0.51 -0.08 -0.81 0.36 0.19 -0.48 -2.18 -0.48 -0.67 ,0.51 -1.88 -0.52 -2.73 -0.97 1.68 -0.55 ,4,32,20,77,12
-0.42 -0.14 -0.60 -1.77 -0.30 -0.79 -1.41 0.63 -1.51 0.69 -0.92 0.50 -0.15 -0.52 0.27 ,-0.15 1.90 2.52 2.67 -2.32 -0.25 ,134,179,158,124,18
0.56 -1.88 1.73 0.34 -1.80 ,4.73 1.04 ,23,13,56,70,56
-0.14 0.70 -0.26 1.31 -2.11 0.54 -2.13 0.66 0.83 -0.59 -1.20 0.09 -1.05 -0.05 ,-1.21 0.84 -0.54 -0.82 ,76,40,136,126,20
-2.70 -2.88 0.98 ,3.35 ,55,93,155,129,95
0.45 -0.52 -2.01 -0.38 1.60 -0.85 0.39 -0.97 -0.75 1.58 -0.67 ,1.44 -2.96 2.26 ,178,146,86,13,24
-1.32 -0.09 2.48 -2.09 -0.69 0.58 -0.25 ,-3.26 -1.31 ,22,5,119,144,39
-0.59 0.18 -2.24 1.35 -1.21 -0.98 -1.04 0.03 0.63 -0.36 -1.03 -0.71 0.16 -1.06 -0.58 -0.08 -1.31 0.18 -0.40 ,0.95 -2.71 -2.16 2.18 -0.12 ,155,142,163,11,12
0.13 -2.76 -1.82 -1.85 0.30 -0.54 -1.37 -0.43 ,-1.71 1.71 -1.70 -3.49 ,77,150,64,104,25
1.33 1.10 -0.62 -0.43 ,0.91 -2.12 ,101,149,187,89,80
-0.03 4.45 -3.12 0.54 0.81 ,-1.53 -1.52 ,67,11,52,166,45
0.30 -1.89 -0.96 -0.43 ,-2.60 ,47,179,11,72,80
-0.15 -1.10 -2.12 1.65 -0.96 ,1.66 0.24 ,45,6,126,128,70
0.45 2.20 -3.31 -0.54 ,1.78 -1.92 ,110,65,169,124,85
-0.51 -0.12 -2.03 -1.15 -1.80 ,3.70 -0.88 ,38,128,2,63,54
-0.15 0.13 -0.68 -2.09 2.48 -2.33 0.11 0.93 0.96 -0.92 0.91 -0.10 -0.16 0.43 0.43 1.55 0.09 -0.98 ,-1.81 -1.33 -1.19 3.16 2.97 -0.02 ,171,100,78,191,17
-0.14 -1.25 -0.60 -1.47 -0.35 -0.04 0.25 -0.77 -0.52 -0.71 -0.93 -0.43 0.62 -0.25 -0.09 -0.39 0.25 -0.19 -1.09 0.74 0.36 -0.60 -0.19 0.82 ,1.14 0.09 -1.14 -1.37 -0.65 -1.85 0.30 -2.47 -0.61 -0.35 ,22,159,51,94,6
0.89 3.25 -3.06 -0.87 -1.17 ,3.21 0.32 ,71,146,155,116,61
-0.15 0.37 -1.60 1.65 -1.36 1.62 -0.29 -0.06 1.04 0.22 -0.30 -0.84 ,-0.32 -0.35 -1.90 2.50 0.09 ,27,122,5,158,13
-0.24 4.30 -1.06 -0.90 0.13 -1.26 -0.64 ,-2.51 -1.81 ,147,192,61,107,36
1.28 0.92 1.43 0.66 ,-2.19 -0.76 ,110,33,13,171,70
0.33 2.46 -2.62 0.54 -2.26 0.87 ,-4.00 0.44 ,152,134,9,8,50
0.35 -0.13 2.04 -3.15 -0.32 0.10 0.92 -1.21 0.13 ,-0.32 2.42 2.85 -3.15 ,130,11,62,111,31
-0.32 0.06 -0.07 -0.54 -0.03 0.98 -0.22 0.12 -0.47 -0.01 -0.19 0.68 -1.04 -0.54 0.21 -0.79 ,-0.15 0.86 -1.37 -0.65 0.90 -0.45 1.50 -0.70 -0.06 ,46,165,45,187,6
0.21 -0.36 -0.93 -1.64 1.09 ,-3.22 -0.08 ,11,58,117,93,66
-0.43 -3.27 -2.47 -2.00 0.73 ,-3.22 0.07 ,173,104,132,55,68
-0.60 1.37 0.39 0.64 0.49 ,-1.68 2.29 ,107,52,88,32,48
-0.96 0.81 -2.54 0.73 ,-0.92 1.11 ,157,29,113,41,68
-0.14 -1.52 -4.71 2.07 0.86 1.50 ,-4.04 1.12 ,64,31,58,179,48
