2.23 4.76 -0.89 -0.07 0.91 ,-0.59 -1.18 ,101,145,133,114,59
-3.94 4.50 0.35 -0.51 -2.59 -1.02 -0.10 0.23 1.86 0.37 -0.73 -1.20 -0.13 2.34 -0.33 1.27 -2.86 -0.05 -0.48 1.39 -0.15 -0.36 -0.44 -2.19 -0.97 0.27 ,0.58 0.08 0.08 -2.28 0.68 0.34 -1.21 -0.18 -1.75 -0.96 0.59 -0.22 0.20 ,71,191,80,35,6
-0.12 -1.08 -3.34 0.62 -1.02 0.49 1.77 ,0.31 2.84 ,136,71,96,135,43
-4.61 4.70 0.20 -2.59 2.84 1.86 0.08 -0.62 -0.24 1.60 -0.56 0.02 -0.05 0.35 0.00 0.04 -1.86 -0.51 0.44 -1.89 0.62 -0.79 -0.91 -2.67 0.08 1.21 -1.15 -2.36 -0.56 0.27 ,-0.51 -0.06 0.49 -1.21 -0.18 -1.75 -0.96 0.59 -0.22 0.20 ,150,183,91,7,6
1.14 -3.60 -2.73 -1.50 ,-0.32 1.48 ,92,141,113,81,76
-0.85 2.56 3.52 0.13 -1.15 0.88 -2.76 2.33 ,0.05 2.86 0.65 ,156,83,20,19,38
0.10 0.60 -3.77 -4.05 -0.67 1.37 0.55 -1.57 1.70 -2.90 -1.11 2.71 ,0.12 3.18 1.80 -0.59 ,52,49,28,165,23
0.57 5.43 1.99 -1.17 ,-1.68 ,96,76,128,38,80
-2.97 -5.09 0.06 -0.30 -1.21 ,0.07 -2.07 ,125,143,186,67,63
3.77 4.07 -1.99 0.54 ,0.97 1.99 ,183,178,109,99,70
3.18 -3.70 -2.02 0.95 ,0.08 -0.96 ,4,170,181,79,72
-1.13 0.02 -1.36 0.33 1.92 -2.64 -0.89 0.72 0.78 -0.62 0.36 -0.80 0.25 0.20 -0.01 0.29 -1.20 1.10 1.26 1.27 -0.14 0.96 -0.05 -1.20 0.96 -1.28 0.38 ,-0.22 -0.26 -1.56 0.01 -0.53 -0.09 1.34 0.50 -1.37 -2.00 ,132,3,110,103,7
0.75 6.39 1.02 -1.58 ,,65,156,67,148,63
-3.29 2.43 -1.47 -2.78 1.76 2.11 ,0.88 0.42 ,160,173,25,142,52
6.69 1.64 0.81 ,-0.39 2.61 ,142,164,2,52,92
-1.21 -1.18 -3.68 -0.19 -1.50 ,-0.52 -1.57 ,77,47,156,13,46
0.28 -0.58 -1.02 -0.10 0.23 -0.45 -0.12 0.14 0.00 -0.61 -0.42 -0.13 -0.38 -0.70 -0.15 -1.08 -1.57 ,,147,38,169,28,6
1.29 0.82 0.04 -0.55 -2.13 -4.18 0.47 -0.92 -3.46 ,0.11 -1.11 1.13 ,73,33,172,6,23
1.87 -4.26 0.81 -1.50 ,-0.75 -1.84 ,84,134,129,72,83
-3.68 -3.51 1.38 -0.34 ,0.96 ,160,75,2,36,75
-2.64 2.30 0.50 -3.64 1.92 1.90 ,2.45 -1.35 ,154,101,110,129,49
0.01 3.27 -1.29 1.06 -2.02 1.49 0.20 -1.36 -0.50 -0.26 -4.04 -0.50 0.59 1.10 0.12 -0.15 -2.62 0.09 ,-0.91 -1.39 0.37 -1.42 -1.87 1.43 ,5,136,173,99,13
1.87 -3.81 -0.77 -0.81 ,-1.81 ,53,164,103,31,86
0.23 7.68 -0.11 -3.71 0.06 ,-0.32 -1.83 ,92,175,17,9,66
-1.72 -5.07 0.23 -2.60 -1.88 -1.69 ,-2.45 -0.57 ,71,120,43,45,49
1.46 3.91 -0.35 -0.26 0.61 1.03 -1.37 -1.17 -0.14 -1.01 -0.48 -0.37 ,0.12 0.96 0.15 -0.90 1.55 ,4,61,54,136,14
-1.26 3.49 -3.65 2.63 4.21 -0.04 -0.61 0.92 1.06 -0.37 -0.71 -0.61 -2.02 ,0.11 -0.18 -1.81 -1.57 2.34 ,23,187,103,8,19
-1.26 -5.70 0.84 -1.09 ,-0.75 -1.34 ,116,177,113,117,90
-1.26 3.44 -1.53 0.36 0.66 -3.61 -0.66 0.26 0.29 -0.05 -2.53 -0.69 -1.32 -2.56 -0.44 1.39 -2.64 -0.16 ,-0.62 0.63 -1.93 -1.82 3.10 ,96,187,54,13,14
-3.97 2.37 0.42 1.71 ,-1.43 ,81,144,13,88,64
0.17 -7.98 0.46 0.36 ,0.12 2.48 ,83,49,134,173,83
-3.94 0.17 7.25 1.52 -0.94 -3.77 3.53 -2.28 ,0.08 -1.40 0.71 ,73,153,124,75,36
-2.06 -4.31 0.95 -0.63 ,-0.39 -2.75 ,140,170,80,75,83
2.23 -4.11 -0.84 0.91 -0.86 -0.78 ,-2.81 -0.57 ,14,140,125,26,49
0.82 -3.97 -0.66 1.35 2.28 1.09 ,-0.22 2.19 ,98,12,94,41,35
4.34 -0.36 -0.23 ,0.70 ,140,11,121,34,62
1.87 0.53 -5.03 -0.10 0.16 -1.00 -0.05 -1.20 -2.76 ,0.52 -0.84 2.79 -0.34 ,32,55,82,141,27
-2.50 -0.60 -3.75 0.70 2.27 3.02 0.61 ,-0.86 -2.64 2.14 ,47,6,186,168,37
1.79 -7.52 -0.50 -1.36 0.79 0.36 -1.98 ,-1.30 0.98 1.67 ,7,49,49,107,36
2.02 2.78 -0.49 -2.91 -1.60 ,-1.03 -1.95 ,84,111,154,21,56
-2.95 -3.98 -1.01 -0.14 -0.80 -0.54 -0.05 0.59 0.07 0.57 ,,169,39,153,47,13
2.21 4.85 1.05 -1.45 3.40 ,,54,167,52,159,53
0.82 -3.34 0.35 0.02 0.49 -1.57 ,-3.17 -1.20 ,62,31,113,9,41
-2.15 -0.95 3.83 -0.97 -1.40 -3.08 0.91 -0.83 2.32 ,0.60 1.85 -0.02 ,188,99,57,74,33
1.14 1.17 -1.76 1.25 -0.89 -0.64 1.74 ,-0.80 -2.11 0.30 ,60,115,176,190,37
2.45 0.32 -3.41 -0.43 -0.69 0.16 -2.78 -1.33 -2.36 ,0.52 0.14 0.92 0.98 ,175,59,59,2,25
-1.57 3.95 -0.59 -0.33 0.15 0.28 2.15 ,-0.39 -2.72 0.45 ,100,44,142,103,31
-3.94 4.34 -0.45 -0.29 0.26 1.92 -2.64 -0.39 0.78 -0.77 -0.15 -0.51 0.35 0.54 -0.34 0.05 -1.24 -1.20 -0.16 0.80 -0.17 1.14 1.98 -0.41 -0.23 2.11 -1.54 0.36 0.28 -0.16 0.59 -1.19 0.69 ,-0.75 0.33 -1.01 0.74 -1.26 0.96 0.69 -0.42 -0.36 -0.52 1.67 0.89 ,128,163,79,63,7
3.71 2.73 -1.51 -0.73 0.74 3.49 -1.02 -0.05 -0.69 -0.45 -0.02 -1.23 -0.47 -2.13 -0.84 2.27 -0.70 -1.26 0.09 0.56 -1.06 -0.56 0.15 2.15 ,-1.08 0.31 -0.41 0.63 2.38 ,123,156,62,118,8
2.23 4.04 0.88 1.80 ,-0.13 ,109,59,147,47,80
3.06 3.12 -1.80 1.13 ,-0.79 -1.59 ,38,192,128,138,71
3.66 8.28 3.21 -1.71 1.97 1.48 ,-0.22 0.41 ,89,120,118,156,56
3.80 -1.66 2.15 -3.89 0.27 0.67 -0.69 -0.88 0.97 0.79 ,0.11 0.94 -0.57 ,168,79,112,61,16
5.82 -2.73 -3.09 -1.40 ,-1.03 -1.05 ,67,24,153,7,58
-5.71 -1.92 -0.77 -3.65 -0.47 -0.16 0.27 -1.22 0.26 0.15 1.56 -2.49 1.17 -0.25 -0.74 0.27 2.27 ,-0.86 0.33 0.39 0.62 -0.70 0.14 ,111,16,150,119,13
0.65 -2.54 1.09 -4.16 ,-0.52 ,86,159,33,181,54
-2.48 1.22 -3.97 1.34 0.59 ,,47,187,40,161,35
2.00 -7.27 0.58 3.34 0.30 ,0.97 0.84 ,6,10,22,153,68
2.64 -4.06 -0.50 -2.15 -1.26 ,0.52 -2.97 ,12,157,126,145,62
-0.16 -7.95 -0.94 -3.21 0.90 ,-0.54 -2.58 ,61,124,90,95,67
-0.44 -1.36 -4.74 2.77 -0.39 -0.67 -1.00 -0.02 1.30 -2.86 ,-0.39 -1.15 -1.85 1.00 ,48,49,166,14,28
2.21 -5.42 -0.52 -3.73 -2.09 -1.08 ,0.12 -0.17 ,2,88,34,14,47
1.31 -4.59 -0.71 3.15 -0.10 1.43 ,-1.32 0.26 ,162,173,150,178,39
0.98 1.99 -0.67 -0.13 -0.78 -3.88 0.10 -0.23 -0.20 -1.22 -0.11 1.66 -0.87 -0.87 2.11 -2.45 -0.35 1.03 -0.84 -0.37 ,-0.86 -0.14 -0.38 1.13 -0.86 1.48 ,98,127,60,54,13
-4.61 6.71 -4.31 0.50 -1.11 -0.63 -1.50 ,-0.39 -1.38 -0.42 ,11,123,118,20,46
2.21 -3.33 -0.24 -2.00 -0.03 0.62 ,0.59 0.85 0.92 ,187,169,61,91,44
1.98 -4.65 -2.37 -3.71 -1.11 0.84 -0.04 -0.35 -1.44 2.15 ,-0.22 -0.27 2.64 -1.03 ,148,9,51,137,31
-6.85 2.57 -1.58 -0.74 0.72 -0.37 -1.45 ,0.25 2.31 1.20 ,70,86,113,172,29
0.01 -2.26 4.05 -3.40 -0.05 -1.26 0.07 0.37 1.22 -2.61 ,-0.22 0.22 -3.16 -0.18 ,47,126,154,152,30
-3.94 0.33 -3.84 -3.01 -1.76 0.07 0.39 ,-3.16 0.42 ,167,139,169,34,30
2.02 -5.08 -1.14 -0.68 -1.21 ,-1.03 -1.05 ,46,120,112,52,58
-0.31 1.22 -0.41 3.49 0.11 0.72 -0.28 1.51 0.95 -1.53 1.47 -2.20 ,0.48 -1.08 -0.08 -1.14 ,50,83,110,148,18
-0.51 -3.31 1.15 1.22 ,-0.80 2.09 ,164,148,122,88,84
-0.96 -4.94 -0.06 0.17 ,1.03 2.04 ,105,1,11,106,79
