-5.22 -2.37 0.88 ,,50,159,30,121,80
-17.19 5.33 -5.22 ,,68,122,44,133,75
18.97 4.97 2.32 2.97 ,,98,86,4,137,83
-16.27 4.25 3.71 ,,20,63,90,100,95
17.37 -5.34 -2.74 -1.06 ,,76,191,177,111,73
-10.37 4.99 3.59 3.93 -0.80 ,,87,2,141,57,61
2.08 0.76 -0.39 3.96 -1.34 -0.25 0.38 -3.49 -0.77 -2.61 -2.03 ,,147,49,98,33,16
16.90 3.56 -3.54 ,,163,118,69,45,88
0.33 -15.47 -4.95 -5.49 -1.16 ,,120,121,11,2,65
-16.64 3.65 2.92 ,,59,89,189,135,87
5.50 0.33 0.63 2.24 -0.94 1.75 ,,126,38,163,61,38
-2.30 -15.33 -6.07 -5.57 0.86 ,,17,43,111,30,65
1.75 -13.72 3.76 2.05 ,,153,80,154,156,85
19.07 -3.36 -4.95 -0.15 ,,93,38,184,48,59
-12.89 3.36 2.71 ,,143,95,60,173,90
17.48 4.20 -4.46 -0.73 ,,44,33,54,71,70
-17.23 -5.99 3.71 ,,151,58,167,17,95
19.74 4.63 2.00 0.41 ,,172,17,185,110,74
-0.77 -4.98 -5.05 -0.36 0.46 -0.11 0.04 -0.51 0.29 -3.28 -1.40 -0.60 -0.63 -0.80 -0.50 -1.40 0.23 -1.34 0.41 -0.03 0.44 0.01 1.58 3.50 -0.10 0.03 0.26 0.35 0.55 ,,36,111,158,143,5
1.51 16.83 -1.31 -0.50 -0.42 -3.96 1.89 1.19 0.21 -0.05 -0.37 2.78 0.96 -2.20 -1.36 -3.33 ,,168,173,20,174,14
3.98 -9.82 1.47 -1.46 0.12 -1.11 -0.16 -1.52 -1.33 -2.19 -1.29 0.22 -0.21 0.34 -0.25 1.46 -0.08 -1.24 0.44 -1.07 ,,75,98,37,57,11
-0.54 -19.42 1.78 0.39 -0.71 -1.06 -2.17 -1.12 0.25 4.56 -0.30 0.73 -2.54 ,,176,169,123,64,20
-17.00 -4.20 -0.62 ,,25,116,161,139,81
-0.54 0.08 0.10 1.41 -1.00 -1.86 -0.08 -0.40 -8.00 -0.30 0.48 0.48 0.40 -0.42 0.05 -0.72 -0.11 -0.03 -0.16 -1.49 -1.36 -1.40 3.34 -0.53 0.25 -0.06 -0.72 -1.29 -0.53 0.07 -0.64 0.35 -0.63 -0.66 -0.94 0.08 -0.47 0.11 -0.81 0.02 -0.62 -0.77 0.49 -1.02 0.31 -0.28 -0.48 -0.23 -0.27 -0.08 0.05 -0.32 0.16 -0.18 -0.12 -0.22 -0.18 -0.06 -0.16 -0.05 0.00 -0.03 -0.64 -0.69 0.49 0.50 0.22 0.28 -0.10 0.35 0.06 -0.09 -2.10 -0.18 -0.11 -0.59 -0.13 ,,28,121,180,62,2
15.36 -0.14 -1.93 -0.53 0.11 0.15 -2.71 0.16 -0.44 -0.59 0.17 -1.76 0.04 -0.50 0.74 1.32 0.74 ,,103,159,187,139,10
0.95 18.22 -2.53 -0.37 0.06 1.89 -0.30 -0.83 3.25 -3.16 2.12 ,,110,89,53,182,22
19.74 3.17 3.07 3.55 -0.27 ,,146,112,49,144,56
-19.95 -2.41 1.86 2.68 0.29 1.31 -1.88 ,,189,87,148,175,40
19.83 -2.17 1.96 2.53 -1.31 4.53 2.56 -1.40 ,,37,52,20,60,30
-17.72 -4.83 4.39 -0.73 ,,122,77,81,190,71
0.24 -0.38 -0.40 -1.71 -0.22 3.31 0.56 -0.19 0.41 -0.78 0.06 -0.50 -0.13 0.17 -0.31 -0.31 -0.14 -0.64 0.09 0.24 -0.19 -0.35 0.42 0.03 0.14 -0.40 -0.72 -0.31 -0.38 0.17 -0.41 0.51 -0.32 0.32 0.47 -0.79 0.08 0.72 -0.14 -1.25 -0.07 0.05 -0.36 -0.26 0.00 -0.32 -0.21 0.27 -0.09 -0.62 -0.02 -0.18 -0.20 0.36 0.02 -0.12 0.11 0.34 0.73 -0.94 -0.34 0.02 -0.91 -0.98 -0.25 0.50 -0.36 -0.52 -0.19 -0.41 -0.70 0.02 -2.31 -0.34 0.48 -0.58 -0.20 -0.65 -0.36 -0.21 -0.18 -0.57 0.07 -0.42 0.15 -0.84 1.80 -0.12 -0.19 0.29 0.14 0.04 ,,139,38,118,143,2
19.07 2.18 4.12 -0.46 4.76 -1.19 ,,155,73,28,184,44
-4.47 10.74 0.89 -0.42 ,,114,137,102,24,79
-9.89 6.04 -4.62 4.97 1.55 ,,28,159,109,46,63
-0.54 -0.66 -0.71 -3.18 -4.32 -1.20 -1.01 -0.36 0.05 -0.33 0.54 0.54 0.92 0.32 -0.86 -0.14 -0.08 0.18 0.33 -0.29 0.22 -0.92 -3.15 4.46 -0.50 0.55 0.30 0.38 -0.60 0.02 -0.36 -0.08 0.30 0.05 -0.17 0.20 0.23 -0.61 0.10 0.15 -0.22 0.36 -2.50 -0.54 0.50 0.84 -0.13 0.20 -0.32 -0.94 -0.32 0.94 -0.12 0.01 -0.47 0.70 -0.51 0.34 -0.22 -0.40 0.12 -0.68 -0.30 ,,29,114,136,181,3
2.51 -1.63 -2.46 2.57 -0.20 3.20 1.28 ,,154,15,127,179,31
-1.25 -9.56 -9.68 0.04 0.97 0.90 -0.33 -1.47 -1.06 -0.18 0.17 0.21 0.45 0.08 -0.23 0.28 -2.44 0.26 1.03 -3.26 0.40 -0.98 ,,26,40,128,31,9
