-2.16 -5.02 -1.39 1.68 1.56 0.00 ,,190,42,174,62,24
-2.69 -2.53 -7.58 1.60 0.63 ,,47,16,92,96,58
-0.45 -0.23 -0.33 -0.37 0.98 -0.25 -0.01 -0.29 -0.01 -0.20 -0.29 -0.22 -0.50 0.64 -0.74 -0.29 -0.23 -0.56 0.22 -0.91 -0.66 0.25 -0.10 -0.05 -0.04 -0.88 -0.18 -0.21 0.40 0.03 -0.39 -0.25 -0.30 -0.36 -0.07 0.25 0.02 -0.27 -0.18 0.52 0.04 0.16 -0.59 -0.92 0.28 1.19 0.19 0.02 -0.36 -0.13 0.14 -0.13 0.29 -0.58 -0.22 -0.19 -0.01 0.00 -0.12 -0.08 0.12 -0.58 0.04 -0.11 0.13 -0.41 0.12 -0.51 0.08 -0.23 -0.06 0.08 -0.73 0.13 -0.64 -0.25 -0.09 0.09 -0.02 0.01 ,,54,34,68,158,2
-5.29 4.68 1.01 ,,119,44,143,82,64
-3.14 -4.44 -3.58 -2.52 ,,109,88,54,174,72
3.22 -1.91 6.02 1.14 1.22 ,,57,168,183,103,57
-1.06 1.00 -8.93 -3.25 -1.12 ,,191,50,148,168,68
-1.64 0.18 -6.40 1.11 -0.93 -2.02 -0.12 ,,110,144,79,143,33
-0.45 -0.37 -0.32 -0.32 -0.29 0.08 -0.09 -0.26 0.00 -0.97 0.41 -0.87 -0.16 0.47 -0.64 -0.58 -0.07 0.09 0.19 0.10 -0.71 0.00 0.09 0.21 0.66 0.34 0.61 0.36 -0.55 -0.84 -0.46 -0.44 0.46 -0.64 -0.28 -0.52 -0.32 -0.09 -0.35 -0.26 -0.89 0.06 -1.02 -0.16 -0.03 0.05 0.09 -0.19 -0.12 0.05 0.05 -0.04 -0.58 -0.69 -0.15 -0.40 0.28 -0.25 0.22 -0.03 0.19 -0.55 -0.16 -0.11 -0.50 -0.25 -0.51 -0.25 0.34 -0.31 -0.43 -0.21 -0.52 -0.29 -0.02 0.01 -0.21 -0.26 ,,138,103,148,173,2
0.30 0.21 -0.16 -0.10 0.94 1.86 -1.23 -0.26 -0.04 0.50 -0.58 0.14 -2.95 5.76 0.29 0.42 ,,68,30,149,12,5
-1.52 -1.11 -3.29 -3.15 0.08 3.17 -0.89 ,,117,96,31,145,40
0.00 2.78 8.88 -0.22 ,,18,161,155,107,95
0.30 1.51 2.45 -1.30 1.50 3.24 4.26 1.71 2.48 -2.42 -1.37 -0.72 ,,29,176,109,68,22
0.44 -5.37 4.91 -2.60 ,,73,179,35,62,87
1.07 1.89 -0.51 0.86 -6.43 0.19 1.52 1.39 1.00 -0.46 ,,100,119,172,113,27
1.71 -0.90 2.06 -5.32 -3.15 -0.83 2.32 -2.42 -1.94 0.61 ,,172,124,143,65,20
0.30 0.48 -0.49 0.41 -0.32 -0.47 0.68 -0.59 0.21 -0.77 0.41 -0.36 0.49 0.32 -0.52 -0.40 0.01 0.38 1.13 0.39 0.98 0.29 1.23 -0.53 1.04 -0.04 -0.58 -2.38 0.30 -0.89 0.42 -0.61 -0.64 -0.97 0.52 -0.58 -0.40 -0.67 0.41 -0.13 -0.45 ,,10,188,152,155,5
-0.56 -0.78 -0.15 -1.08 -0.59 -1.16 -1.07 0.52 -0.88 0.65 0.47 0.13 0.61 -1.13 -1.17 -1.88 -1.43 -0.96 -0.09 -0.51 -0.18 0.56 -0.37 -1.53 0.39 -0.29 -0.04 0.23 0.56 0.64 -0.80 0.14 0.20 -0.19 0.18 -0.56 -0.36 0.27 -0.21 0.41 -0.13 -0.45 ,,189,64,132,189,5
-0.33 -0.49 0.74 0.03 -0.58 -0.26 -0.02 -0.28 -0.03 -0.49 -1.45 -1.98 0.00 0.03 -0.31 0.04 ,,32,107,21,102,3
-0.95 -1.95 -2.69 6.54 3.29 -3.89 -1.00 ,,160,98,151,123,37
-2.47 -9.78 -4.85 -2.64 ,,121,125,45,85,73
-1.96 0.29 -2.09 -6.90 -0.88 -3.98 3.10 -0.59 ,,100,34,21,166,35
1.18 0.06 8.50 2.69 -1.36 ,,148,108,182,82,57
-3.11 -10.00 -1.59 ,,174,5,140,188,88
-0.22 -3.05 -0.24 -0.86 0.60 -0.85 -1.57 0.61 -3.48 -1.37 -0.04 ,,136,10,85,47,8
0.58 -0.16 -1.20 -0.66 0.16 1.99 1.91 -1.08 -0.63 0.17 -1.11 1.07 0.48 -0.56 -2.67 -0.32 0.12 0.28 -1.44 -0.91 0.86 ,,55,36,35,2,9
0.30 1.32 -4.17 -3.04 1.60 0.95 ,,12,10,85,20,56
-2.98 -4.01 -1.82 3.24 ,,170,85,145,144,83
-1.48 -3.00 -8.61 -3.59 ,,179,96,14,89,83
-2.98 0.49 -8.37 -2.66 -1.50 ,,183,109,42,11,63
-2.61 -8.56 -5.19 3.10 ,,126,137,13,132,75
-0.89 -2.21 0.11 -2.85 -4.75 -1.03 1.07 -2.49 1.65 0.92 0.70 ,,188,138,43,88,24
2.95 8.46 4.48 2.73 ,,67,150,189,21,74
2.70 -0.07 0.35 -7.18 -0.21 2.04 1.19 -1.73 -0.59 ,,81,106,144,63,30
-0.30 -2.58 -9.74 -0.03 ,,159,70,64,51,93
3.89 7.74 -0.20 ,,91,51,95,48,87
0.18 -0.73 0.15 0.45 0.93 2.67 -0.51 0.23 -2.73 0.75 0.12 0.22 0.14 1.05 ,,181,96,185,144,11
-2.68 0.33 -3.44 -5.71 -0.97 -4.00 2.40 -0.16 ,,53,61,34,168,30
-0.76 -0.81 0.58 -0.02 0.17 -0.67 0.44 0.93 -0.71 -0.09 0.52 -0.34 0.30 -0.72 -0.62 0.22 -1.36 -0.37 -0.92 -0.71 2.59 -0.21 -0.39 0.00 0.65 -0.22 -0.54 -1.71 0.38 -1.28 -0.25 0.37 0.20 0.67 0.18 0.26 -0.27 0.37 ,,35,10,60,161,5
-1.29 -1.14 -1.40 -7.31 -1.83 -0.92 -0.93 ,,71,62,16,36,42
0.46 -0.66 -0.36 0.29 0.07 1.48 0.30 -0.23 -0.30 0.83 -0.59 -0.74 0.22 1.25 -0.63 -0.33 -0.69 -0.42 -0.48 -0.01 -0.87 0.29 0.87 1.12 2.19 -0.04 1.13 -2.37 -0.07 -0.28 -0.11 0.43 -0.13 -1.38 0.34 -0.92 -0.44 0.38 -2.73 3.77 0.22 -1.03 -1.07 0.10 -0.27 0.06 -0.19 -0.09 -0.74 0.16 0.65 -0.49 -0.35 -0.26 0.06 -0.09 -0.84 ,,45,72,86,62,4
2.42 2.81 -5.54 2.61 0.74 ,,49,102,79,42,59
-0.78 -1.95 0.81 0.00 -2.69 -3.97 2.48 -0.01 -2.56 1.78 0.74 0.06 -0.88 ,,149,45,45,63,19
-2.53 0.98 -9.43 -0.31 -2.14 -0.65 ,,70,73,24,83,48
3.22 8.32 4.89 2.90 ,,155,105,176,58,75
0.59 2.05 -0.54 0.98 6.21 2.86 0.38 -1.61 -1.57 -1.67 0.59 ,,18,112,35,15,25
2.42 -10.76 -0.19 ,,152,111,132,39,91
-2.94 0.88 8.22 -1.96 0.15 -0.44 ,,161,105,166,163,45
-1.60 -5.36 2.48 -0.72 ,,172,45,185,93,34
-2.47 9.54 -4.73 2.90 ,,125,96,71,81,71
-2.12 1.06 -0.51 ,,189,18,167,26,31
-1.48 -3.59 -5.99 -2.85 -1.18 0.78 ,,31,57,24,166,36
2.00 0.37 -7.25 1.37 -1.26 0.09 ,,117,137,68,29,39
0.71 -4.82 3.02 -0.65 0.11 ,,137,90,182,102,45
0.54 2.63 -5.94 0.15 1.71 2.05 -0.20 ,,71,59,153,59,31
2.08 -9.92 4.33 3.10 ,,65,165,90,75,75
1.67 0.24 -0.12 ,,28,183,19,105,33
-1.13 -2.64 7.50 1.45 -0.56 0.47 ,,97,149,65,81,46
2.82 -0.05 5.75 -2.79 -4.31 -3.76 -0.54 ,,123,138,107,137,37
0.65 1.59 -0.62 5.32 2.60 0.97 2.47 -2.23 1.39 -1.14 ,,63,184,191,136,26
0.30 0.20 1.74 0.25 0.37 -0.70 1.19 2.16 4.00 2.05 -0.69 0.49 1.41 -0.25 3.98 -1.89 -2.00 -0.11 -0.40 0.26 ,,8,179,159,4,15
-3.55 -9.48 3.74 2.92 ,,88,1,135,102,79
-0.19 -0.11 0.80 0.72 1.16 3.61 2.90 -0.75 3.53 -0.45 -0.90 -0.61 -2.02 -0.04 0.31 -1.11 -0.11 ,,44,183,100,161,9
-2.68 9.48 -4.85 -2.92 ,,130,35,94,134,73
0.60 1.41 -0.88 -0.15 2.76 2.81 0.64 -0.44 -2.06 -1.67 0.59 ,,10,57,102,96,25
-2.21 -8.57 -2.86 ,,141,53,111,94,82
2.78 9.18 3.74 2.92 ,,70,111,173,117,79
2.17 8.63 3.40 -1.12 ,,163,143,176,78,68
0.77 3.62 8.28 -0.24 ,,12,190,122,60,93
3.02 8.96 4.91 2.62 ,,65,94,103,92,75
0.24 2.46 1.38 -5.73 -0.12 2.98 1.27 -0.24 ,,89,110,128,134,35
0.91 0.69 -0.20 0.12 1.10 -1.42 ,,35,166,40,116,16
0.46 2.29 -0.63 0.24 2.73 -0.71 -1.77 -1.19 -1.95 -0.20 ,,121,174,71,1,26
-0.78 -4.56 -8.81 -0.50 ,,182,37,33,127,91
-3.33 -0.64 -8.08 -2.45 -0.07 0.44 ,,169,158,18,41,49
-1.49 1.27 -0.93 -1.62 -5.29 -1.06 -0.13 1.97 -2.62 2.12 1.64 -0.91 ,,108,29,147,129,20
-2.69 -2.57 -6.66 -3.13 1.08 ,,45,38,37,152,60
2.85 1.12 -8.75 2.83 0.97 ,,74,97,140,106,59
-0.88 -2.23 0.35 0.01 -2.57 -6.86 0.00 0.81 0.61 2.02 1.24 0.76 ,,116,48,127,121,23
2.56 3.02 6.73 1.18 -1.41 ,,7,132,114,37,56
3.95 -8.75 -3.31 ,,94,113,95,143,78
-1.48 -9.73 -1.64 ,,19,61,16,145,92
1.40 1.24 8.39 2.90 -1.77 ,,132,122,118,24,64
-0.71 -1.99 -1.34 -8.03 1.38 -0.63 0.20 ,,94,17,149,157,46
