-0.78 -0.09 -5.71 -3.88 0.30 ,,127,123,76,62,68
-0.21 -0.65 -2.05 1.33 ,,18,48,121,167,83
-0.22 0.31 -0.35 0.04 -0.06 -0.33 -0.81 -0.67 1.28 -0.55 -0.03 -0.05 0.32 -1.27 -0.77 -0.44 -0.07 0.23 -0.62 0.20 -0.30 0.45 -0.21 0.05 0.35 -0.41 -1.03 1.55 -0.22 -0.78 -0.75 -0.25 -0.46 -0.26 0.14 -0.84 0.95 0.21 -0.57 0.77 0.14 -0.33 0.36 -0.24 -0.46 0.50 -0.24 -1.77 -0.29 -0.41 -0.52 -0.34 0.04 -0.03 -0.13 0.25 0.30 -0.14 -0.65 -0.36 -0.46 0.04 -0.31 0.08 -0.13 -0.16 ,,44,61,138,144,3
-0.39 0.33 1.08 -4.30 2.86 1.48 -2.14 ,,159,47,109,150,40
-0.14 2.12 3.05 -0.56 -1.25 ,,167,40,155,78,19
1.01 -1.07 5.83 -2.45 -1.40 ,,144,11,168,88,37
0.74 -2.66 -0.74 -6.00 -3.47 -1.89 -1.74 1.66 ,,69,82,116,32,34
-0.39 0.41 2.28 -0.43 3.54 -1.70 ,,135,14,128,131,52
0.09 0.08 -1.74 -2.43 -1.36 -0.70 2.37 ,,41,117,181,120,26
-0.86 1.37 0.83 -0.08 ,,34,29,17,119,79
0.14 -0.25 -0.63 -0.07 1.28 -0.10 -0.32 -0.25 0.05 -0.54 -0.41 -0.14 -0.28 -0.30 -0.14 -0.17 ,,19,142,9,129,2
0.23 0.26 -0.50 0.52 -0.51 -0.34 2.02 0.38 -1.16 -0.40 0.08 -1.93 0.07 0.25 0.52 0.07 -0.07 -0.98 0.89 -0.17 0.93 -1.12 0.72 2.00 0.77 0.30 -0.43 -0.20 0.34 -0.76 -0.32 -0.36 -0.23 -1.01 -0.68 -0.27 -0.58 -0.22 -1.08 -0.42 0.33 -0.11 -0.15 -0.51 0.52 -0.06 0.26 -0.07 ,,152,162,176,112,4
1.08 -2.37 -4.38 -2.20 -1.13 -1.69 2.21 ,,44,162,79,14,33
-0.68 1.29 -0.34 3.18 2.34 -0.08 -0.18 -1.13 0.64 -1.23 -3.31 1.05 -1.46 -0.58 0.91 ,,128,116,191,23,14
-0.43 3.26 0.34 ,,66,159,56,84,76
0.35 -2.89 5.43 2.08 2.97 -1.85 ,,65,76,7,172,42
0.46 0.40 -5.98 -4.74 -1.55 ,,50,88,154,166,61
0.05 -0.48 4.70 -4.29 0.08 ,,28,165,31,27,70
-0.36 0.06 1.96 -0.10 ,,35,7,102,26,91
-0.78 0.46 0.48 -2.76 0.06 0.02 2.40 ,,76,28,70,38,25
-0.06 1.42 -2.43 -0.43 ,,116,151,5,40,80
0.39 0.31 1.04 -1.09 -2.32 2.29 -0.95 -1.86 -1.24 -1.08 2.42 ,,50,170,183,40,27
0.21 -0.25 -0.10 -0.41 -0.02 -0.11 -1.39 -0.88 -0.52 -0.49 0.40 0.50 -0.44 0.62 0.19 0.09 -0.42 0.78 0.23 -0.62 0.20 -0.30 0.05 -0.31 0.14 -0.59 0.52 0.04 -0.22 -0.78 0.48 -0.03 0.19 -0.01 -0.29 -0.37 -1.65 -0.43 -0.61 0.54 0.14 0.21 0.37 -0.20 0.48 -0.43 0.12 -0.11 -0.64 -0.08 -0.58 0.17 -0.09 -0.10 -0.24 -0.17 -0.24 0.56 0.44 -0.19 -0.24 -0.21 0.51 ,,33,46,72,100,3
-2.41 4.27 -1.75 ,,139,76,173,76,33
-0.25 0.27 -0.40 -0.42 -1.03 -0.62 -0.02 -0.12 1.00 -1.68 -1.25 -0.40 -0.18 -0.36 -0.53 -2.38 0.34 -0.14 0.26 -0.71 0.13 0.73 0.42 0.03 -0.37 0.20 ,,3,37,115,91,5
-0.42 -0.64 -0.44 ,,23,187,7,102,71
-1.18 1.89 2.26 3.67 -4.89 -1.20 2.27 ,,4,177,192,128,44
2.04 6.02 -6.23 -0.34 ,,132,189,11,98,71
-0.78 1.47 0.89 -0.66 ,,155,52,57,44,81
-0.87 -4.29 2.40 ,,59,113,62,190,70
-0.54 -0.32 -1.24 2.12 -0.98 0.98 0.48 2.75 0.48 -0.63 0.83 ,,169,38,182,97,11
-0.54 -0.44 2.20 -0.26 -1.75 -1.51 -0.24 -1.09 -1.71 -0.73 0.05 1.56 ,,154,177,137,31,18
0.71 0.72 -3.88 0.36 ,,10,83,28,65,70
-0.41 -3.76 1.59 ,,129,87,97,16,95
1.08 1.36 -6.32 -3.08 -0.58 ,,128,109,120,78,59
-1.17 0.25 -2.24 1.89 -1.69 ,,190,9,114,141,58
-0.27 0.01 -0.10 -0.34 4.84 1.93 -1.13 1.42 -2.48 ,,129,89,138,127,33
-0.66 -0.29 -2.93 -1.77 ,,2,83,55,179,90
1.27 0.52 0.25 -2.43 2.35 ,,7,126,21,77,32
-0.73 0.04 -3.53 2.69 -1.80 ,,151,1,134,161,60
-0.02 -0.41 1.42 -2.66 0.06 -0.54 -1.67 -1.59 -1.55 0.77 1.29 0.75 ,,185,77,151,23,11
-1.17 0.11 1.61 -0.70 2.53 2.35 -2.60 -1.42 -0.86 -1.96 -0.38 2.04 ,,92,181,185,114,24
-0.36 1.32 3.74 0.34 -2.16 1.50 ,,134,175,182,146,56
-0.41 -0.33 -3.13 -0.17 ,,110,41,63,25,91
-0.98 -0.40 -5.64 3.13 -1.11 ,,10,25,59,22,62
0.89 -1.48 -5.45 -3.49 1.86 ,,1,30,120,68,52
-0.78 1.41 1.44 5.95 1.90 1.77 ,,141,4,189,163,43
-0.53 -6.88 -3.71 -0.60 ,,30,39,99,149,70
-0.33 -0.58 1.12 5.49 -2.32 -3.26 1.55 ,,135,177,9,44,41
-1.51 -0.23 -1.50 -1.06 1.22 1.38 -2.03 ,,189,85,80,140,41
0.89 1.09 -0.55 -3.35 -3.01 -2.82 0.62 -1.35 2.65 ,,42,125,97,15,29
2.71 0.71 2.00 -0.48 3.38 -0.34 0.82 0.56 0.60 -1.71 -1.10 ,,122,43,140,185,14
0.05 0.47 -0.76 -0.50 ,,92,190,114,189,21
-0.18 -0.73 -1.57 -0.67 -1.68 -1.65 1.76 ,,8,165,140,18,41
0.22 3.44 1.71 ,,110,154,10,143,86
0.08 5.36 -3.49 0.74 ,,63,115,181,129,65
-1.49 1.07 2.46 -2.77 ,,172,144,58,104,45
-0.41 -0.77 1.04 -3.46 2.34 -0.08 -0.18 1.22 2.79 -1.55 0.64 0.96 -1.29 3.30 -2.38 0.73 0.60 -1.71 -1.10 ,,142,58,89,129,14
-0.09 1.87 -2.69 1.98 3.45 -3.45 -2.54 -2.51 2.63 ,,98,178,41,58,30
0.71 -2.18 -2.17 -3.04 2.75 -1.73 -1.51 -1.45 2.35 ,,123,127,135,37,32
-0.33 0.86 0.56 2.32 -1.10 -0.01 2.43 0.60 -2.58 -0.73 3.07 1.06 -0.33 0.15 1.50 ,,38,4,58,85,15
0.06 -1.52 -3.51 -2.88 1.17 ,,124,125,48,33,62
0.23 -0.47 -2.71 -3.76 0.51 -2.79 -0.78 -1.61 -0.58 1.97 ,,69,54,155,48,22
-1.01 -1.62 1.84 0.02 ,,190,86,163,110,51
1.47 -0.28 2.18 0.82 2.41 ,,39,179,24,130,23
-0.68 -0.82 -1.25 2.52 -0.07 -4.04 2.55 -0.72 -1.96 0.37 1.97 ,,12,45,191,23,22
-1.50 3.16 -2.79 1.28 ,,72,127,128,128,61
0.10 2.47 -3.21 3.97 -2.03 -0.77 2.29 0.48 1.76 ,,65,123,48,88,23
0.05 0.05 0.01 -0.52 0.84 1.00 0.21 2.28 0.71 0.39 -0.49 0.03 -1.21 -0.98 -2.51 -1.62 -0.50 -1.10 -0.06 -0.55 0.87 -1.53 2.00 1.25 -0.07 -0.36 -1.12 -0.35 -0.38 0.46 0.63 ,,21,155,3,15,7
-0.84 1.49 0.64 -2.89 -0.38 -2.16 0.03 1.03 0.65 -0.58 ,,82,128,88,155,9
0.10 -0.01 -0.19 -2.65 -1.26 3.78 -1.72 0.13 -2.56 -2.16 -0.30 2.49 ,,77,159,150,155,24
0.00 -0.29 -0.10 0.07 -4.38 -3.28 -1.42 -1.62 1.66 ,,21,169,103,106,33
-0.17 1.12 0.37 -0.68 ,,122,82,50,72,82
0.86 6.67 -3.96 0.14 ,,135,185,156,58,74
-0.37 -0.71 -0.85 0.70 1.44 0.97 1.01 -0.20 -0.28 -0.05 -0.05 0.38 -0.10 2.33 0.32 -0.05 0.71 1.32 0.67 -1.24 0.93 0.28 -1.49 -0.70 0.11 0.20 -0.03 -0.63 -0.46 -0.87 ,,157,39,90,125,8
-0.77 0.10 -5.47 -3.81 0.69 ,,13,86,157,148,66
0.51 -0.51 0.10 -0.31 -0.03 2.47 0.60 -1.84 0.68 3.41 -0.29 -0.55 -0.80 ,,95,168,159,180,15
-0.39 0.21 0.68 -2.65 ,,22,75,41,140,87
